,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1609200000,739.39,688.87,729.59,708399.11,507583628.28,731.55,direct,
1,1609286400,758.27,717.54,731.55,670985.03,495447971.32,752.53,direct,
2,1609372800,755.68,722.92,752.53,548855.97,405487796.36,737.15,direct,
3,1609459200,749.71,717.14,737.15,436164.48,320856381.75,730.6,direct,
4,1609545600,788.27,716.71,730.6,904953.39,688632713.33,774.9,direct,
5,1609632000,1011.81,770.07,774.9,2200163.67,1987810339.53,978.69,direct,
6,1609718400,1163.36,889.78,978.69,2903509.97,2941908637.58,1043.16,direct,
7,1609804800,1133.9,975.69,1043.16,2076858.97,2209100382.41,1103.19,direct,
8,1609891200,1214.12,1059.19,1103.19,2484714.82,2817165249.56,1210.59,direct,
9,1609977600,1290.46,1151.6,1210.59,1601329.3,1957429185.72,1225.5,direct,
10,1610064000,1273.69,1067.33,1225.5,1767634.41,2103290577.04,1216.98,direct,
11,1610150400,1307.77,1173.77,1216.98,997317.78,1234090079.14,1279.96,direct,
12,1610236800,1350.09,1163.66,1279.96,1503199.13,1931453689.24,1255.72,direct,
13,1610323200,1259.54,912.42,1255.72,3649323.14,3831991768.04,1088.37,direct,
14,1610409600,1149.87,1007.68,1088.37,1521509.38,1647583878.23,1050.04,direct,
15,1610496000,1136.66,985.32,1050.04,1182504.51,1262994625.32,1129.84,direct,
16,1610582400,1246.36,1087.39,1129.84,1151856.9,1349158455.8,1232.11,direct,
17,1610668800,1255.19,1069.37,1232.11,1395002.47,1643038085.27,1169.06,direct,
18,1610755200,1293.2,1152.92,1169.06,1020332.59,1250938805.76,1228.52,direct,
19,1610841600,1269.49,1166.6,1228.52,783042.23,957632921.26,1233.73,direct,
20,1610928000,1260.68,1183.78,1233.73,663535.05,813409622.3,1258.31,direct,
21,1611014400,1439.37,1252.78,1258.31,1607009.53,2197247666.73,1367.65,direct,
22,1611100800,1408.06,1234.88,1367.65,1362169.39,1802865032.38,1377.75,direct,
23,1611187200,1389.04,1086.55,1377.75,1941246.58,2374156404.45,1111.49,direct,
24,1611273600,1275.45,1044.92,1111.49,1781416.3,2068128154.63,1234.56,direct,
25,1611360000,1272.57,1197.55,1234.56,617746.69,766118780.58,1234.1,direct,
26,1611446400,1400.2,1221.78,1234.1,1164242.17,1540273353.15,1392.45,direct,
27,1611532800,1475.49,1296.02,1392.45,1477949.16,2072432387.85,1318.47,direct,
28,1611619200,1378.06,1246.49,1318.47,1325006.34,1749379399.61,1368.22,direct,
29,1611705600,1374.39,1207.77,1368.22,1409050.67,1798477778.92,1241.51,direct,
30,1611792000,1361.36,1220.48,1241.51,1035138.63,1368788914.36,1330.78,direct,
31,1611878400,1442.14,1287.5,1330.78,1622581.39,2215293756.32,1379.13,direct,
32,1611964800,1406.51,1326.9,1379.13,585864.43,798440634.01,1379.35,direct,
33,1612051200,1381.53,1283.77,1379.35,492089.73,653725686.92,1314.18,direct,
34,1612137600,1377.77,1271.68,1314.18,585469.21,774664819.38,1374.57,direct,
35,1612224000,1549.2,1361.84,1374.57,1325932.08,1932069095.73,1513.9,direct,
36,1612310400,1670.87,1510.16,1513.9,1156693.15,1832159523.59,1667.22,direct,
37,1612396800,1697.97,1558.06,1667.22,1172256.64,1921213581.05,1597.44,direct,
38,1612483200,1762.23,1592.92,1597.44,963997.03,1626954142.52,1721.48,direct,
39,1612569600,1744.33,1648.46,1721.48,765790.73,1293997066.53,1679.14,direct,
40,1612656000,1694.5,1494.84,1679.14,929611.92,1480130359.34,1614.64,direct,
41,1612742400,1779.25,1565.98,1614.64,1166827.02,1975321767.53,1752.87,direct,
42,1612828800,1824.66,1710.46,1752.87,894749.11,1573102089.36,1772.05,direct,
43,1612915200,1838.93,1680.58,1772.05,959891.91,1691442085.33,1743.0,direct,
44,1613001600,1818.43,1705.77,1743.0,589410.57,1043919213.74,1787.69,direct,
45,1613088000,1867.1,1741.17,1787.69,750882.93,1354431182.3,1844.84,direct,
46,1613174400,1875.55,1765.87,1844.84,522573.28,950428277.14,1817.48,direct,
47,1613260800,1852.06,1786.75,1817.48,423533.72,772757223.36,1802.96,direct,
48,1613347200,1836.25,1661.33,1802.96,919696.6,1616101004.74,1779.4,direct,
49,1613433600,1825.9,1726.66,1779.4,608093.81,1081268304.83,1782.83,direct,
50,1613520000,1856.88,1734.79,1782.83,565395.25,1021991301.71,1851.14,direct,
51,1613606400,1950.03,1850.93,1851.14,624859.46,1193546506.61,1939.61,direct,
52,1613692800,1973.92,1891.32,1939.61,603867.66,1170439220.78,1957.47,direct,
53,1613779200,2038.52,1819.36,1957.47,968370.26,1903964736.95,1915.12,direct,
54,1613865600,1975.88,1885.62,1915.12,413929.05,802733653.42,1935.14,direct,
55,1613952000,1937.57,1446.99,1935.14,1512841.22,2656835977.99,1778.07,direct,
